symbol,occurrences,n_instances,n_models,example_message
import-outside-toplevel,191,89,8,Import outside toplevel (ansible.playbook.block.Block)
inconsistent-return-statements,156,71,8,"Either all return statements in a function should return an expression, or none of them should."
invalid-name,1702,322,8,"Variable name ""c"" doesn't conform to snake_case naming style"
invalid-overridden-method,4,4,4,"Method 'update_key' was expected to be 'async', found it instead as 'non-async'"
invalid-sequence-index,25,5,5,"Sequence index is not an int, slice, or instance with __index__"
keyword-arg-before-vararg,2,1,1,Keyword argument before variable positional arguments list in the definition of __init__ function
line-too-long,2240,431,8,Line too long (138/100)
logging-fstring-interpolation,257,46,8,Use lazy % formatting in logging functions
misplaced-bare-raise,8,8,8,The raise statement is not inside an except clause
missing-class-docstring,206,95,8,Missing class docstring
missing-final-newline,9,7,2,Final newline missing
missing-function-docstring,795,229,8,Missing function or method docstring
missing-module-docstring,97,58,8,Missing module docstring
no-else-continue,10,6,5,"Unnecessary ""else"" after ""continue"""
no-else-raise,21,20,8,"Unnecessary ""elif"" after ""raise"""
no-else-return,297,125,8,"Unnecessary ""else"" after ""return"""
no-member,253,47,7,Instance of 'CallbackModule' has no 'display_failed_stderr' member
no-name-in-module,172,31,8,No name 'collections_abc' in module '_MovedItems'
no-self-argument,10,4,3,"Method should have ""self"" as first argument"
no-self-use,145,77,8,Method could be a function
no-value-for-parameter,17,2,2,No value for argument 'upgrade' in function call
overlapping-except,1,1,1,Overlapping exceptions (OSError is an ancestor class of PermissionError)
pointless-statement,3,2,1,Statement seems to have no effect
pointless-string-statement,29,8,7,String statement has no effect
protected-access,574,75,8,Access to a protected member _host of a client class
raise-missing-from,117,59,8,Consider explicitly re-raising using the 'from' keyword
redefined-argument-from-local,11,9,7,Redefining argument with the local name 'f'
redefined-builtin,40,30,8,Redefining built-in 'ConnectionError'
redefined-outer-name,895,162,8,Redefining name 'e' from outer scope (line 32)
redundant-u-string-prefix,52,14,5,The u prefix for strings is no longer necessary in Python >=3.0
reimported,72,39,8,Reimport 're' (imported line 10)
simplifiable-condition,2,1,1,Boolean condition 'rec.get('isbn_10') or []' may be simplified to 'rec.get('isbn_10')'
simplifiable-if-expression,4,2,2,The if expression can be replaced with 'test'
subprocess-run-check,1,1,1,Using subprocess.run without explicitly set `check` is not recommended.
super-init-not-called,3,2,2,__init__ method from base class 'Exception' is not called
super-with-arguments,66,21,7,Consider using Python 3 style super() without arguments
superfluous-parens,11,6,4,Unnecessary parens after 'elif' keyword
syntax-error,13,7,4,"invalid syntax (<unknown>, line 26)"
too-few-public-methods,25,20,7,Too few public methods (1/2)
too-many-arguments,480,72,8,Too many arguments (7/5)
too-many-boolean-expressions,34,21,8,Too many boolean expressions in if statement (6/5)
too-many-branches,516,184,8,Too many branches (16/12)
too-many-function-args,3,2,2,Too many positional arguments for function call
too-many-instance-attributes,122,42,8,Too many instance attributes (35/7)
too-many-lines,903,231,8,Too many lines in module (1378/1000)
too-many-locals,721,178,8,Too many local variables (20/15)
too-many-nested-blocks,35,19,6,Too many nested blocks (6/5)
too-many-public-methods,87,33,7,Too many public methods (52/20)
too-many-return-statements,72,53,8,Too many return statements (8/6)
too-many-statements,543,132,8,Too many statements (64/50)
too-many-try-statements,1,1,1,"try clause contains 11 statements, expected at most 7"
trailing-newlines,19,18,6,Trailing newlines
trailing-whitespace,2075,248,8,Trailing whitespace
try-except-raise,2,2,2,The except handler raises immediately
unbalanced-tuple-unpacking,6,2,2,"Possible unbalanced tuple unpacking with sequence defined at line 236 of ansible.plugins.lookup.password: left side has 2 label(s), right side has 3 value(s)"
undefined-loop-variable,10,3,3,Using possibly undefined loop variable 'lang'
undefined-variable,22,10,5,Undefined variable 'IteratingStates'
unexpected-keyword-arg,16,12,8,Unexpected keyword argument 'override_validation' in function call
unexpected-line-ending-format,2,2,2,Unexpected line ending format. There is 'CRLF' while it should be 'LF'.
ungrouped-imports,16,16,7,Imports from package openlibrary are not grouped
unidiomatic-typecheck,8,8,8,Use isinstance() rather than type() for a typecheck.
unnecessary-comprehension,3,3,3,"Unnecessary use of a comprehension, use dict(zip(default_args, defaults_tuple)) instead."
unnecessary-lambda,8,8,8,Lambda may not be necessary
unnecessary-pass,39,21,7,Unnecessary pass statement
unreachable,7,7,7,Unreachable code
unspecified-encoding,71,10,7,Using open without explicitly specifying an encoding
unsubscriptable-object,9,4,3,Value 'config.cache' is unsubscriptable
unsupported-membership-test,1,1,1,Value 'solr_result' doesn't support membership test
unused-argument,86,48,8,Unused argument 'self'
unused-import,409,159,8,Unused import ast
unused-variable,92,65,8,Unused variable 'idx'
use-dict-literal,31,16,8,Consider using {} instead of dict()
use-implicit-booleaness-not-len,9,9,8,Do not use `len(SEQUENCE)` without comparison to determine if a sequence is empty
use-list-literal,19,15,6,Consider using [] instead of list()
use-maxsplit-arg,1,1,1,"Use str(entry).rsplit('/', maxsplit=1)[-1] instead"
useless-import-alias,1,1,1,Import alias does not rename original package
useless-object-inheritance,35,17,8,"Class 'PlayIterator' inherits from object, can be safely removed from bases in python3"
useless-return,1,1,1,Useless return at end of function or method
useless-super-delegation,5,5,5,Useless super delegation in method '__init__'
useless-suppression,3,1,1,Useless suppression of 'protected-access'
using-constant-test,4,3,2,Using a conditional statement with a constant value
wrong-import-order,264,112,8,"third party import ""from ansible.module_utils.common._collections_compat import KeysView, Mapping, MutableMapping, Sequence, MutableSequence, Set, MutableSet"" should be placed before ""from ._text import to_native, to_bytes, to_text"""
wrong-import-position,282,76,8,"Import ""from ansible.module_utils.basic import AnsibleModule"" should be placed at the top of the module"
