category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,0.0,1.0,0.9479640660930114,0.05432322317790855,N
refactor,0.0,0.0,0.6856647727006087,0.018560434585785424,N
warning,0.0,0.0,0.01770767352754975,0.25486645540968766,S
error,0.0,0.0,0.1577377199828095,0.11724762335898596,N
fatal,0.0,0.0,0.17661687848414231,0.0647351742870077,N
total,0.0,1.0,0.10297404138141833,0.1453146220009054,N
