category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,0.0,0.0,0.7742634373113213,-0.012154195011337868,N
refactor,0.0,0.0,0.9371221897259101,0.015600907029478459,N
warning,0.0,0.0,0.05845626893634875,0.1199092970521542,N
error,0.0,0.0,0.029886026909271207,0.05396825396825397,N
fatal,0.0,0.0,0.4234111325826244,-0.01832199546485261,N
total,0.0,1.0,0.15392100523247093,0.07192743764172335,N
