category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,0.0,2.0,2.1549776797735022e-05,0.286453730589572,S
refactor,0.0,0.0,0.011656923196679825,0.15995455119303117,S
warning,0.0,0.0,9.972559433273178e-05,0.3201615957581114,S
error,0.0,0.0,0.7795559598726394,0.002524933720489837,N
fatal,0.0,0.0,0.5548871177040394,0.011235955056179775,N
total,0.0,3.0,4.68150271731671e-08,0.3446534528468628,M
