category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,0.0,5.0,3.302832610894483e-13,0.44802618528069826,M
refactor,0.0,0.0,0.004929143241913246,0.12155326324142035,N
warning,0.0,0.0,0.0001970596884289304,0.18904979170799444,S
error,0.0,0.0,0.346980392168029,0.039625074390001985,N
fatal,0.0,0.0,0.15729920705028502,0.007439000198373339,N
total,1.0,6.0,2.5157862589148713e-13,0.4669708391192224,M
