category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,1.0,0.0,0.2747528606983587,-0.06186666666666667,N
refactor,0.0,0.0,0.41084508689355215,-0.03164444444444445,N
warning,0.0,0.0,0.006196208146135771,0.1888,S
error,0.0,0.0,0.11451808081510158,0.09671111111111111,N
fatal,0.0,0.0,0.9924272697002683,-0.00017777777777777779,N
total,1.0,1.0,0.8920288281065877,0.032711111111111114,N
