category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,0.0,5.0,3.764805720946455e-12,0.5482302295918368,L
refactor,0.0,0.0,0.013341221184208019,0.10730229591836735,N
warning,0.0,0.0,0.002071553416660301,0.1836734693877551,S
error,0.0,0.0,0.24730839962086304,0.05779655612244898,N
fatal,0.0,0.0,0.08327077347426944,0.01793686224489796,N
total,0.0,6.0,4.5413756371069573e-13,0.5333227040816326,L
