category,gold_central,model_central,p,cliffs_delta,delta_mag
convention,0.0,2.0,6.285570157960149e-06,0.28079750501225215,S
refactor,0.0,0.0,0.04029520251888897,0.09473156605034529,N
warning,0.0,0.0,0.0011225152120925978,0.17236578302517264,S
error,0.0,0.0,0.15978461300045577,0.03575406549342838,N
fatal,0.0,0.0,0.15730211848151354,0.00790822009356204,N
total,1.0,3.0,9.916121740660126e-09,0.32457117398084206,S
