attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,10.5,7.0,0.1567672279467659,-0.09039444850255661,N
Function Metrics,CC,2.0,2.0,0.4478247051860065,-0.03889700511322133,N
Function Metrics,PC,1.0,1.0,0.24759998364397762,-0.029218407596785977,N
Class / Module Metrics,LOC,18.5,11.0,0.10574241645443738,-0.12856099342585828,N
Class / Module Metrics,WMC,2.5,2.0,0.3432379365100927,-0.05642804967129291,N
Class / Module Metrics,NOM,0.0,0.0,0.14798888334533009,-0.027574872169466764,N
Class / Module Metrics,NOPM,0.0,0.0,0.1454918975923897,-0.05606281957633309,N
Class / Module Metrics,NOF,0.0,0.0,0.31183731548712623,-0.09934258582907232,N
Class / Module Metrics,NOPF,0.0,0.0,0.05333868051164845,-0.10993425858290723,N
Class / Module Metrics,LCOM,0.0,0.0,0.28029871515433,-0.06738495252008765,N
Class / Module Metrics,Fan-In,0.0,0.0,0.5214526389409389,-0.025931336742147554,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.946298507679323,-0.0020087655222790356,N
Class / Module Metrics,DIT,0.0,0.0,0.31731050786291415,-0.013330898466033601,N
