attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,13.0,38.0,7.722759355838706e-11,0.5069361870788743,L
Function Metrics,CC,3.0,8.0,1.69885604562705e-10,0.4863258026159334,L
Function Metrics,PC,0.0,2.0,1.996086021685453e-06,0.23371647509578544,S
Class / Module Metrics,LOC,19.0,56.0,3.4526355007564675e-10,0.4731140177037918,M
Class / Module Metrics,WMC,4.0,12.0,7.781551505155308e-10,0.478266613819527,L
Class / Module Metrics,NOM,1.0,2.0,4.0239533984176264e-07,0.21588056546439424,S
Class / Module Metrics,NOPM,0.0,0.0,2.356444740616097e-06,0.1993658343242172,S
Class / Module Metrics,NOF,0.0,0.0,0.026552105283377456,0.05073325406262386,N
Class / Module Metrics,NOPF,0.0,0.0,0.46351120770792786,-0.016911084687541288,N
Class / Module Metrics,LCOM,0.0,0.0,0.9077994702806893,0.006473774606949399,N
Class / Module Metrics,Fan-In,0.0,0.0,0.5001301635031663,-0.033690051525961155,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.8641935664268696,0.006473774606949399,N
Class / Module Metrics,DIT,0.0,0.0,0.5546876759739108,-0.010833663627956137,N
