attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,12.0,22.0,1.7054453496383822e-10,0.3081836929731905,S
Function Metrics,CC,2.0,5.0,2.7867260014990176e-10,0.3188471404858911,S
Function Metrics,PC,0.0,1.0,0.007484128054073734,0.13208591117147025,N
Class / Module Metrics,LOC,19.0,30.0,1.897572137020262e-09,0.2632161360092551,S
Class / Module Metrics,WMC,3.0,6.0,7.278068144373327e-10,0.2727729993461093,S
Class / Module Metrics,NOM,0.0,1.0,0.0034647113409924392,0.12338413560686082,N
Class / Module Metrics,NOPM,0.0,0.0,0.007939560237484789,0.10195664202001911,N
Class / Module Metrics,NOF,0.0,0.0,0.28882488226721903,-0.049896886474523415,N
Class / Module Metrics,NOPF,0.0,0.0,0.364608367600212,-0.03772446054021428,N
Class / Module Metrics,LCOM,0.0,0.0,0.8453084709073482,-0.0012574820180071425,N
Class / Module Metrics,Fan-In,0.0,0.0,0.16124581218353584,-0.03143705045017856,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.1784094153346275,-0.025199939640863134,N
Class / Module Metrics,DIT,0.0,0.0,0.657061091030402,-0.013580805794477138,N
