attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.0285714285714285,0.0833333333333333,0.0016291269897948154,0.20280669986419195,S
Complexity,WMC,1.0,3.0,0.021425806402479968,0.15663196016296968,S
Complexity,MaxNest,0.0,1.0,0.04797565150479987,0.1516523313716614,S
Complexity,NPATH,0.0,0.0,0.12335384657094262,0.11453146220009054,N
Coupling,CBO,0.0,0.0,0.25792230509399294,-0.06292440018107741,N
Coupling,RFC,0.0,0.0,0.4185495408901275,-0.009053870529651425,N
Inheritance,NOC,0.0,0.0,1.0,0.0,N
Inheritance,IFANIN,0.0,0.0,1.0,-0.0009053870529651426,N
Abstraction,Declarative Methods,0.0,0.0,0.5929699093548381,-0.01403349932095971,N
Design Size,NL,19.0,22.0,0.6414374448100979,-0.004074241738343142,N
Design Size,LOC,12.0,9.0,0.8571565042162753,-0.05160706201901313,N
Design Size,BLOC,2.0,2.0,0.6866078446002714,-0.052059755545495696,N
Design Size,CLOC,2.0,5.0,0.01462656994775606,0.22363060208239022,S
Design Size,STMTC,6.0,10.0,0.0184976387095385,0.15482118605703937,S
Design Size,Classes,0.0,0.0,0.6405181457676384,-0.005432322317790856,N
Design Size,Functions,0.0,0.0,0.9612440431555974,0.011317338162064282,N
Design Size,NIM,0.0,0.0,0.6241296879421493,-0.011770031688546853,N
Design Size,NIV,0.0,0.0,0.6405840908254348,0.01765504753282028,N
