attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.0377358490566037,0.2142857142857142,4.912961725038302e-12,0.3653514739229025,M
Complexity,WMC,2.0,6.0,1.8635967981074354e-09,0.345578231292517,M
Complexity,MaxNest,1.0,1.0,3.268281851825549e-06,0.28235827664399094,S
Complexity,NPATH,0.0,1.0,4.053767543340445e-08,0.3454875283446712,M
Coupling,CBO,0.0,0.0,0.042598852917112975,0.08834467120181407,N
Coupling,RFC,0.0,0.0,0.06929491667063144,0.031383219954648524,N
Inheritance,NOC,0.0,0.0,0.5562372923189007,0.0007256235827664399,N
Inheritance,IFANIN,0.0,0.0,0.4666758392370949,0.010249433106575964,N
Abstraction,Declarative Methods,0.0,0.0,0.0382769597756647,0.03709750566893424,N
Design Size,NL,20.0,28.0,6.0849738769685285e-05,0.2018140589569161,S
Design Size,LOC,13.0,23.0,2.7352097716396992e-06,0.26104308390022674,S
Design Size,BLOC,3.0,6.0,9.558334053424397e-08,0.3199092970521542,S
Design Size,CLOC,2.0,0.0,0.00013829568888028694,-0.2871655328798186,S
Design Size,STMTC,7.0,16.0,2.295640913278176e-09,0.3434920634920635,M
Design Size,Classes,0.0,0.0,0.47741844725221205,0.009614512471655328,N
Design Size,Functions,0.0,1.0,3.332381171845748e-05,0.17868480725623584,S
Design Size,NIM,0.0,0.0,0.08958259933077993,0.025759637188208617,N
Design Size,NIV,0.0,0.0,0.5253596018835172,0.022857142857142857,N
