attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.0357142857142857,0.1428571428571428,1.2366783761859335e-12,0.35235450069435675,M
Complexity,WMC,2.0,5.0,1.2117502801109325e-08,0.32647393005933595,S
Complexity,MaxNest,1.0,1.0,3.5733469262340796e-06,0.24479232420148972,S
Complexity,NPATH,0.0,1.0,1.9151320729134528e-07,0.3005933594243151,S
Coupling,CBO,0.0,0.0,0.14629554626671756,0.06173462946597652,N
Coupling,RFC,0.0,0.0,0.6687570765065292,-0.008711021335689939,N
Inheritance,NOC,0.0,0.0,0.9936251460227049,-0.0108572149981063,N
Inheritance,IFANIN,0.0,0.0,0.9887041530001881,-0.010730968312081807,N
Abstraction,Declarative Methods,0.0,0.0,0.33156410249259394,0.020830703194041157,N
Design Size,NL,19.0,32.0,2.460035488810468e-07,0.3086731473298826,S
Design Size,LOC,12.0,16.0,0.0001698512266389887,0.19176871607120313,S
Design Size,BLOC,3.0,5.0,0.00019510922578815117,0.2249715944956445,S
Design Size,CLOC,1.0,11.0,9.62904581695497e-10,0.5155914657240247,L
Design Size,STMTC,7.0,15.0,6.733520901186156e-09,0.31662668854942555,S
Design Size,Classes,0.0,0.0,1.0,-0.01224592854437571,N
Design Size,Functions,0.0,1.0,0.07284286622539189,0.09481126120439339,N
Design Size,NIM,0.0,0.0,0.5451759504872833,0.00820603459159197,N
Design Size,NIV,0.0,0.0,0.19045714706098005,0.041408913016033326,N
