attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.0327868852459016,0.0285714285714285,0.051869628143198294,0.058666666666666666,N
Complexity,WMC,2.0,2.0,0.30747484584521667,-0.05884444444444444,N
Complexity,MaxNest,1.0,1.0,0.4781003672288584,-0.0368,N
Complexity,NPATH,0.0,0.0,0.6175220636739245,-0.013155555555555556,N
Coupling,CBO,0.0,0.0,0.3548691543877325,-0.06275555555555555,N
Coupling,RFC,0.0,0.0,0.1703072075717047,-0.011377777777777778,N
Inheritance,NOC,0.0,0.0,0.31731050786291415,-0.013155555555555556,N
Inheritance,IFANIN,0.0,0.0,0.26808400397290166,-0.03804444444444444,N
Abstraction,Declarative Methods,0.0,0.0,0.2660304876840488,-0.0007111111111111111,N
Design Size,NL,17.0,12.0,0.022037088722128048,-0.10826666666666666,N
Design Size,LOC,12.0,8.0,0.02847208299574721,-0.12195555555555555,N
Design Size,BLOC,2.0,2.0,0.32430577520248793,-0.050666666666666665,N
Design Size,CLOC,1.0,1.0,0.3818661409202303,-0.06293333333333333,N
Design Size,STMTC,7.0,6.0,0.20104143537418961,-0.07946666666666667,N
Design Size,Classes,0.0,0.0,0.058119200112768214,-0.05262222222222222,N
Design Size,Functions,0.0,0.0,0.1620812242958427,-0.02808888888888889,N
Design Size,NIM,0.0,0.0,0.2834000955799001,0.0037333333333333333,N
Design Size,NIV,0.0,0.0,0.7425151463616584,-0.0037333333333333333,N
