attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.0434782608695652,0.2222222222222222,3.2034608797027874e-12,0.3723356009070295,M
Complexity,WMC,2.0,6.0,1.160722686143898e-09,0.3527437641723356,M
Complexity,MaxNest,1.0,1.0,2.1761550912182735e-06,0.28671201814058955,S
Complexity,NPATH,0.0,1.0,2.537458080396728e-08,0.3491156462585034,M
Coupling,CBO,0.0,0.0,0.02944931204556228,0.09922902494331065,N
Coupling,RFC,0.0,0.0,0.04998739941858432,0.0327437641723356,N
Inheritance,NOC,0.0,0.0,0.5562372923189007,0.0007256235827664399,N
Inheritance,IFANIN,0.0,0.0,0.4666758392370949,0.010249433106575964,N
Abstraction,Declarative Methods,0.0,0.0,0.026095708361738513,0.03918367346938775,N
Design Size,NL,20.0,29.0,4.9628173653299666e-05,0.2016326530612245,S
Design Size,LOC,13.0,23.0,1.8622701439919228e-06,0.26684807256235826,S
Design Size,BLOC,3.0,6.0,7.110233210525955e-08,0.3251700680272109,S
Design Size,CLOC,2.0,0.0,2.8931460062944383e-05,-0.3054875283446712,S
Design Size,STMTC,8.0,17.0,1.4761508789145317e-09,0.3574603174603175,M
Design Size,Classes,0.0,0.0,0.47741844725221205,0.009614512471655328,N
Design Size,Functions,0.0,1.0,2.127217241150884e-05,0.18231292517006803,S
Design Size,NIM,0.0,0.0,0.06184700636949123,0.028117913832199547,N
Design Size,NIV,0.0,0.0,0.5253596018835172,0.022857142857142857,N
