attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.03540100250626565,0.0917508417508417,3.579293614889376e-08,0.2637914540816326,S
Complexity,WMC,3.0,4.0,6.082260731435266e-06,0.2110172193877551,S
Complexity,MaxNest,1.0,1.0,2.4279125095346896e-06,0.22576530612244897,S
Complexity,NPATH,0.0,1.0,3.2939626402100975e-08,0.2893813775510204,S
Coupling,CBO,0.0,0.0,0.4624405904147907,0.00390625,N
Coupling,RFC,0.0,0.0,0.9883566018099127,-0.002551020408163265,N
Inheritance,NOC,0.0,0.0,1.0,7.971938775510203e-05,N
Inheritance,IFANIN,0.0,0.0,0.7505805282451934,-0.008131377551020409,N
Abstraction,Declarative Methods,0.0,0.0,0.7841742098181564,-0.011957908163265306,N
Design Size,NL,19.0,27.5,4.044486892117497e-07,0.24250637755102042,S
Design Size,LOC,12.5,14.0,0.034144831189735415,0.1014827806122449,N
Design Size,BLOC,3.0,5.0,1.570297280354833e-09,0.3114636479591837,S
Design Size,CLOC,2.0,8.5,1.0348318288543768e-10,0.42721619897959184,M
Design Size,STMTC,7.5,10.0,1.7422779200652667e-05,0.19292091836734693,S
Design Size,Classes,0.0,0.0,0.5310107643979989,7.971938775510203e-05,N
Design Size,Functions,0.0,0.0,0.07200238477219695,0.036989795918367346,N
Design Size,NIM,0.0,0.0,0.7387871918027884,-0.0015943877551020409,N
Design Size,NIV,0.0,0.0,0.7955121344788207,-0.012356505102040817,N
